no,nb,lr,svm,mlp,rf
1,0.718038529,0.811083123,0.821596244,0.814117647,0.581196581
2,0.745027125,0.849382716,0.855791962,0.768856448,0.61452514
3,0.740608229,0.83,0.822695035,0.764568765,0.634560907
4,0.727915194,0.816120907,0.829736211,0.784810127,0.602272727
5,0.76635514,0.851485149,0.843601896,0.785185185,0.584527221
6,0.736654804,0.826196474,0.847619048,0.776978417,0.654054054
7,0.728873239,0.842892768,0.820143885,0.759433962,0.618911175
8,0.738738739,0.83919598,0.817102138,0.80195599,0.61707989
9,0.723404255,0.835,0.852380952,0.769953052,0.59833795
10,0.741007194,0.812182741,0.82464455,0.799031477,0.593023256
11,0.766037736,0.82,0.810551559,0.808411215,0.628571429
12,0.785854617,0.83627204,0.829736211,0.76372315,0.64640884
13,0.768361582,0.835820896,0.830188679,0.787037037,0.64673913
14,0.750462107,0.828784119,0.845070423,0.816425121,0.616246499
15,0.759776536,0.828282828,0.821002387,0.784503632,0.633053221
16,0.717770035,0.824120603,0.854415274,0.795121951,0.642857143
17,0.72920354,0.844444444,0.840855107,0.795121951,0.610169492
18,0.740608229,0.835820896,0.810810811,0.786046512,0.611898017
19,0.731107206,0.838709677,0.835322196,0.800959233,0.620498615
20,0.759398496,0.827930175,0.843373494,0.818401937,0.627906977
21,0.773694391,0.829145729,0.829383886,0.769230769,0.597101449
22,0.755963303,0.834170854,0.847058824,0.787286064,0.61971831
23,0.729874776,0.812182741,0.825471698,0.784688995,0.617977528
24,0.763705104,0.825,0.822695035,0.795294118,0.638655462
25,0.763157895,0.825,0.806682578,0.793187348,0.633333333
26,0.702422145,0.824120603,0.82464455,0.789473684,0.603351955
27,0.760667904,0.815189873,0.819905213,0.791469194,0.630985915
28,0.733452594,0.822335025,0.82464455,0,0.652291105
29,0.77734375,0.827411168,0.828235294,0.775903614,0.630985915
30,0.740471869,0.839506173,0.802884615,0.819047619,0.62745098
31,0.760828625,0.854271357,0.820143885,0.780487805,0.603448276
32,0.760667904,0.832917706,0.817966903,0.799065421,0.617142857
33,0.741284404,0.832080201,0.817102138,0.765853659,0.611570248
34,0.74368231,0.83,0.828087167,0.756626506,0.617977528
35,0.756457565,0.82382134,0.841607565,0.765133172,0.61369863
36,0.796875,0.824120603,0.848341232,0.776190476,0.610169492
37,0.751851852,0.842105263,0.863961814,0.781990521,0.618384401
38,0.727915194,0.847880299,0.827751196,0.790243902,0.583090379
39,0.731793961,0.848484848,0.817102138,0.787439614,0.583569405
40,0.725978648,0.81122449,0.827906977,0.771428571,0.613636364
41,0.737030411,0.833333333,0.853773585,0.779411765,0.653950954
42,0.760299625,0.832917706,0.821852732,0.762589928,0.601671309
43,0.750915751,0.823232323,0.832116788,0.791666667,0.591304348
44,0.737410072,0.831295844,0.807692308,0.760290557,0.614084507
45,0.736654804,0.826196474,0.841346154,0.782816229,0.61971831
46,0.733096085,0.835,0.819905213,0.771084337,0.626373626
47,0.732142857,0.835,0.822695035,0.801864802,0.625698324
48,0.737967914,0.835,0.838554217,0.78,0.636871508
49,0.725663717,0.824120603,0.813559322,0.763466042,0.64109589
50,0.733096085,0.844444444,0.842857143,0.8,0.604651163
